"","id","resolution","section"
"1","24/1","Promoting human rights through sport and the Olympic ideal","28,146"
"2","24/2","Local government and human rights","29,175,2144,4846"
"3","24/3","Special Rapporteur on contemporary forms of slavery, including its causes and consequences","30,192,2072"
"4","24/4","The right to development","31,259,2156,4870"
"5","24/5","The rights to freedom of peaceful assembly and of association","32,307,2167,4876"
"6","24/6","The right of everyone to the enjoyment of the highest attainable standard of physical and mental health","33,353,2178,4882"
"7","24/7","Arbitrary detention","34,383,2186,4924"
"8","24/8","Equal political participation","35,446,2192,4942"
"9","24/9","Human rights and indigenous peoples: mandate of the Special Rapporteur on the rights of indigenous peoples","36,477,4960"
"10","24/10","Human rights and indigenous peoples","37,494,2200,2206,4960,4966"
"11","24/11","Preventable mortality and morbidity of children under 5 years of age as a human rights concern","38,533,2214"
"12","24/12","Human rights in the administration of justice, including juvenile justice","39,559,2222,5002"
"13","24/13","The use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination","40,676,2230,5008"
"14","24/14","Human rights and unilateral coercive measures","41,729,2239,4864"
"15","24/15","World Programme for Human Rights Education","42,823,2249,4906"
"16","24/16","The role of prevention in the promotion and protection of human rights","43,849,2257,4918"
"17","24/17","Conscientious objection to military service","44,893,2265,4972"
"18","24/18","The human right to safe drinking water and sanitation","45,928,2275,5020"
"19","24/19","Regional arrangements for the promotion and protection of human rights","46,1016,2285,5044"
"20","24/20","The human rights of older persons","47,1038,2293,5056"
"21","24/21","Civil society space: creating and maintaining, in law and in practice, a safe and enabling environment","48,1101,2302"
"22","24/22","The continuing grave deterioration of the human rights and humanitarian situation in the Syrian Arab Republic","49,1136,2381,5062"
"23","24/23","Strengthening efforts to prevent and eliminate child, early and forced marriage: challenges, achievements, best practices and implementation gaps","50,1188,2320,5038"
"24","24/24","Cooperation with the United Nations, its representatives and mechanisms in the field of human rights","51,1208,2414,4430,4936"
"25","24/25","The Social Forum","52,1252,2442,5014"
"26","24/26","From rhetoric to reality: a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance","53,1280,3397,4984"
"27","24/27","Technical assistance and capacity-building for human rights in the Democratic Republic of the Congo","54,1328,3476"
"28","24/28","Technical assistance for the Sudan in the field of human rights","55,1363,3481,4894"
"29","24/29","Advisory services and technical assistance for Cambodia","56,1395,3488,4948"
"30","24/30","Assistance to Somalia in the field of human rights","57,1441,3493,4954"
"31","24/31","Enhancement of technical cooperation and capacity-building in the field of human rights","58,1570,3498,4990"
"32","24/32","Technical assistance and capacity-building for Yemen in the field of human rights","59,1598,3502,5032"
"33","24/33","Technical cooperation for the prevention of attacks against persons with albinism","60,1657,3505,5050"
"34","24/34","Technical assistance to the Central African Republic in the field of human rights","61,1681,3510,5068"
"35","24/35","Impact of arms transfers on human rights in armed conflicts","62,1717"
