"","id","resolution","section"
"1","4/2","Human rights situation in the Occupied Palestinian Territory: follow up to Human Rights Council resolutions S and S",""
"2","4/8","Follow up to decision S of December adopted by the Human Rights Council at its fourth special session entitled Situation of human rights in Darfur",""
"3","4/6","Strengthening of the Office of the United Nations High Commissioner for Human Rights","1882,1918"
"4","4/1","Question of the realization in all countries of economic, social and cultural rights","19,95,604,1612,1864"
"5","4/3","Intergovernmental Working Group on the Review of Mandates","21,145,614,1848"
"6","4/4","The right to development","22,154,628,744,1879"
"7","4/5","Globalization and its impact on the full enjoyment of all human rights","23,170,640,1885,1915"
"8","4/7","Rectification of the legal status of the Committee on Economic, Social and Cultural Rights","25,234,658,1888"
"9","4/9","Combating defamation of religions","27,271,671,1873"
"10","4/10","Elimination of all forms of intolerance and of discrimination based on religion or belief","28,297,682,1876"
