"","id","adoption.date","resolution","section"
"1","25/1","27 March 2014","Promoting reconciliation, accountability and human rights in Sri Lanka",578
"2","25/2","27 March 2014","Freedom of opinion and expression: mandate of the Special Rapporteur on the promotion and protection of the right to freedom of opinion and expression",898
"3","25/3","27 March 2014","Enhancement of international cooperation in the field of human rights",908
"4","25/4","27 March 2014","Integrity of the judicial system",916
"5","25/5","27 March 2014","Mandate of the Independent Expert on minority issues",938
"6","25/6","27 March 2014","Rights of the child: access to justice for children",946
"7","25/7","27 March 2014","Protection of human rights and fundamental freedoms while countering terrorism",958
"8","25/8","27 March 2014","The role of good governance in the promotion and protection of human rights",970
"9","25/9","27 March 2014","The negative impact of the non-repatriation of funds of illicit origin to the countries of origin on the enjoyment of human rights, and the importance of improving international cooperation",978
"10","25/10","27 March 2014","Ending violence against children: a global call to make the invisible visible",1006
"11","25/11","27 March 2014","Question of the realization in all countries of economic, social and cultural rights",1018
"12","25/12","27 March 2014","Freedom of religion or belief",1028
"13","25/13","27 March 2014","Torture and other cruel, inhuman or degrading treatment or punishment: mandate of the Special Rapporteur",1034
"14","25/14","27 March 2014","The right to food",1046
"15","25/15","27 March 2014","Promotion of a democratic and equitable international order",1058
"16","25/16","27 March 2014","Mandate of the Independent Expert on the effects of foreign debt and other related international financial obligations of States on the full enjoyment of all human rights, particularly economic, social and cultural rights",1084
"17","25/17","28 March 2014","Adequate housing as a component of the right to an adequate standard of living",1110
"18","25/18","28 March 2014","Mandate of the Special Rapporteur on the situation of human rights defenders",1124
"19","25/19","28 March 2014","Promotion of the enjoyment of the cultural rights of everyone and respect for cultural diversity",1210
"20","25/20","28 March 2014","The right to education of persons with disabilities",1222
"21","25/21","28 March 2014","Human rights and the environment",1230
"22","25/22","28 March 2014","Ensuring use of remotely piloted aircraft or armed drones in counter-terrorism and military operations in accordance with international law, including international human rights and humanitarian law",1240
"23","25/38","28 March 2014","The promotion and protection of human rights in the context of peaceful protests",1268
"24","25/23","28 March 2014","The continuing grave deterioration of the human rights and humanitarian situation in the Syrian Arab Republic",1417
"25","25/24","28 March 2014","Situation of human rights in the Islamic Republic of Iran",1447
"26","25/25","28 March 2014","Situation of human rights in the Democratic People’s Republic of Korea",1477
"27","25/26","28 March 2014","Situation of human rights in Myanmar",1509
"28","25/27","28 March 2014","Right of the Palestinian people to self-determination",2510
"29","25/28","28 March 2014","Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan",2532
"30","25/29","28 March 2014","Human rights situation in Occupied Palestinian Territory, including East Jerusalem",2552
"31","25/30","28 March 2014","Follow-up to the report of the United Nations Independent International Fact-Finding Mission on the Gaza Conflict",2570
"32","25/31","28 March 2014","Human rights in the occupied Syrian Golan",2586
"33","25/32","28 March 2014","Mandate of the Special Rapporteur on contemporary forms of racism, racial discrimination, xenophobia and related intolerance",2639
"34","25/33","28 March 2014","International Decade for People of African Descent",2649
"35","25/34","28 March 2014","Combating intolerance, negative stereotyping and stigmatization of, and discrimination, incitement to violence and violence against, persons based on religion or belief",2661
"36","25/35","28 March 2014","Strengthening of technical cooperation and consultative services in Guinea",2749
"37","25/36","28 March 2014","Assistance to the Republic of Mali in the field of human rights",2759
"38","25/37","28 March 2014","Technical assistance for Libya in the field of human rights",2773
